fetched_at,name,url,status,n_tools,error
2026-08-10T02:30:29+00:00,ai.clarid/compliance,https://mcp.clarid.ai/mcp,error,,"ConnectionError: HTTPSConnectionPool(host='mcp.clarid.ai', port=443): Max retries exceeded with url: /mcp (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x10e2ac320>: Failed to resolve 'mcp.clarid.ai' ([Errno 8] nodename nor servname provided, or not known)""))"
2026-08-10T02:30:30+00:00,ai.clarid/hmda,https://api.clarid.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://api.clarid.ai/mcp
2026-08-10T02:30:30+00:00,ai.clarx/mcp,,skipped_no_remote,,
2026-08-10T02:30:31+00:00,ai.clawfetch/mcp,https://mcp.clawfetch.ai/mcp,ok,10,
2026-08-10T02:30:32+00:00,ai.clawterminal/markets,https://mcp.clawterminal.ai,error,,HTTPError: 401 Client Error: Unauthorized for url: https://mcp.clawterminal.ai/
2026-08-10T02:30:33+00:00,ai.clelp/clelp,,skipped_no_remote,,
2026-08-10T02:30:33+00:00,ai.clize/clize,,skipped_no_remote,,
2026-08-10T02:30:33+00:00,ai.cnaps/studio,https://mcp.cnaps.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://mcp.cnaps.ai/mcp
2026-08-10T02:30:33+00:00,ai.cobbles/cobbles,https://api.cobbles.ai/mcp,error,,"ConnectionError: HTTPSConnectionPool(host='api.cobbles.ai', port=443): Max retries exceeded with url: /mcp (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x104b63650>: Failed to resolve 'api.cobbles.ai' ([Errno 8] nodename nor servname provided, or not known)""))"
2026-08-10T02:30:34+00:00,ai.codenib/codenib,,skipped_no_remote,,
2026-08-10T02:30:35+00:00,ai.cofoundagent/cofound,https://mcp.cofoundagent.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://mcp.cofoundagent.ai/mcp
2026-08-10T02:30:35+00:00,ai.com.mcp/contabo,https://contabo.run.mcp.com.ai/mcp,error,,RuntimeError: initialize returned no result
